Date,Ticker,Sector,Open,High,Low,Close,Volume,Daily_Return,MA_20,MA_50,Volatility_20,Cum_Return
2023-01-02,TECHCO,Technology,1235.36,1252.92,1229.9,1235.54,853084,,,,,0.0
2023-01-03,TECHCO,Technology,1277.2,1274.32,1270.78,1274.21,1158752,0.031298055910775835,,,,3.1298055910775835
2023-01-04,TECHCO,Technology,1249.8,1255.02,1243.7,1249.59,494129,-0.019321775845425937,,,,1.137154604464441
2023-01-05,TECHCO,Technology,1264.62,1267.23,1256.59,1262.96,656434,0.010699509439096033,,,,2.219272544798234
2023-01-06,TECHCO,Technology,1255.14,1259.54,1243.47,1258.34,1169353,-0.0036580730981188303,,,,1.8453469737928385
2023-01-09,TECHCO,Technology,1251.68,1258.33,1255.61,1256.37,1765067,-0.001565554619578191,,,,1.6859025203554756
2023-01-10,TECHCO,Technology,1255.54,1269.43,1252.3,1257.75,932682,0.0010984025406528541,,,,1.7975945740324129
2023-01-11,TECHCO,Technology,1277.31,1282.56,1273.87,1277.45,521195,0.015662890081494796,,,,3.392039108406042
2023-01-12,TECHCO,Technology,1241.89,1246.17,1231.87,1243.8,1747350,-0.026341539786293056,,,,0.6685335966460038
2023-01-13,TECHCO,Technology,1256.33,1264.55,1255.45,1256.94,1229293,0.010564399421128856,,,,1.7320361947003038
2023-01-16,TECHCO,Technology,1288.87,1290.25,1273.85,1283.48,940507,0.021114770792559634,,,,3.880084821211782
2023-01-17,TECHCO,Technology,1263.55,1265.53,1235.01,1260.14,536433,-0.01818493470876048,,,,1.991032261197545
2023-01-18,TECHCO,Technology,1312.15,1317.29,1304.73,1311.63,1360182,0.04086053930515665,,,,6.158440843679691
2023-01-19,TECHCO,Technology,1290.37,1293.23,1268.03,1287.76,1011826,-0.018198729824722037,,,,4.226492060151843
2023-01-20,TECHCO,Technology,1265.5,1275.15,1261.46,1266.58,1367380,-0.01644716406783875,,,,2.5122618450232226
2023-01-23,TECHCO,Technology,1229.49,1232.25,1212.79,1224.75,1680842,-0.03302594388037072,,,,-0.8733023617203739
2023-01-24,TECHCO,Technology,1234.25,1230.79,1219.9,1228.85,1217684,0.003347621963665892,,,,-0.5414636515208016
2023-01-25,TECHCO,Technology,1196.49,1210.19,1178.91,1196.9,832664,-0.025999918623102802,,,,-3.127377502954165
2023-01-26,TECHCO,Technology,1201.18,1208.66,1189.03,1202.5,1500382,0.004678753446403228,,,,-2.674134386584004
2023-01-27,TECHCO,Technology,1193.73,1213.12,1186.12,1192.95,1712058,-0.007941787941787903,1251.4245,,,-3.4470757725367007
2023-01-30,TECHCO,Technology,1245.07,1251.36,1232.86,1243.07,2740335,0.0420134959554046,1251.801,,0.3494171793081296,0.6094501189763069
2023-01-31,TECHCO,Technology,1211.61,1219.99,1201.36,1205.73,1340932,-0.030038533630447173,1248.377,,0.3456001242914187,-2.412710231963344
2023-02-01,TECHCO,Technology,1184.84,1189.08,1186.01,1188.3,1565077,-0.014455972730213262,1245.3125,,0.3428862174582641,-3.8234294316655038
2023-02-02,TECHCO,Technology,1162.31,1168.48,1160.84,1164.32,1267670,-0.020180089203063245,1240.3805,,0.34488398439616924,-5.764281204979205
2023-02-03,TECHCO,Technology,1155.23,1169.96,1146.44,1154.02,1877136,-0.008846365260409494,1235.1645,,0.3453401258785323,-6.597924794017185
2023-02-06,TECHCO,Technology,1195.82,1201.19,1182.79,1191.74,1729368,0.032685742014869845,1231.933,,0.36924113053356655,-3.5450086601809705
2023-02-07,TECHCO,Technology,1189.19,1192.7,1191.37,1192.24,2818708,0.00041955460083564766,1228.6575,,0.36916412514381336,-3.504540524790778
2023-02-08,TECHCO,Technology,1233.9,1245.79,1220.04,1238.14,952101,0.03849895994095154,1226.692,,0.3921786340497819,0.21043430402902796
2023-02-09,TECHCO,Technology,1226.96,1244.04,1224.64,1228.46,2209065,-0.007818178881225157,1225.925,,0.3818509648935175,-0.5730287971251413
2023-02-10,TECHCO,Technology,1218.94,1221.05,1208.12,1218.61,1423057,-0.008018169089754723,1224.0085,,0.380502595012492,-1.370251064311967
2023-02-13,TECHCO,Technology,1175.31,1184.33,1172.07,1183.99,481792,-0.028409417286908822,1219.034,,0.38245242000437907,-4.172264758728971
2023-02-14,TECHCO,Technology,1170.42,1186.04,1161.94,1175.41,1432474,-0.007246682826713036,1214.7975000000001,,0.37893263911921704,-4.866697962024691
2023-02-15,TECHCO,Technology,1204.67,1214.04,1183.19,1200.46,3203239,0.021311712508826686,1209.239,,0.35433598067976724,-2.8392443789759914
2023-02-16,TECHCO,Technology,1191.23,1191.21,1172.45,1189.98,533568,-0.008729986838378667,1204.35,,0.35094652461637565,-3.6874564967544488
2023-02-17,TECHCO,Technology,1213.46,1216.96,1213.63,1214.28,807075,0.02042051126909694,1201.7350000000001,,0.3575378823609558,-1.7207051167910326
2023-02-20,TECHCO,Technology,1207.53,1234.04,1201.15,1210.65,983073,-0.0029894258325920964,1201.03,,0.3381931512084003,-2.0145037797238308
2023-02-21,TECHCO,Technology,1214.09,1218.85,1209.86,1210.86,1524919,0.00017346053772748782,1200.1305,,0.33791857842633966,-1.9975071628599683
2023-02-22,TECHCO,Technology,1267.79,1273.26,1265.34,1270.17,343789,0.04898171547495189,1203.7939999999999,,0.3665477295202732,2.802823057124826
2023-02-23,TECHCO,Technology,1259.56,1264.19,1261.99,1262.29,2385642,-0.006203893966949425,1206.7835,,0.3680080855965294,2.165045243375374
2023-02-24,TECHCO,Technology,1256.78,1259.53,1247.27,1251.08,1929448,-0.008880685104056929,1209.69,,0.3683824537838164,1.2577496479272199
2023-02-27,TECHCO,Technology,1283.86,1280.5,1273.34,1278.53,1052366,0.021941042938900868,1211.463,,0.3461428581813203,3.4794502808488614
2023-02-28,TECHCO,Technology,1268.55,1268.63,1266.92,1268.18,1117539,-0.00809523437072257,1214.5855,,0.32779258769796044,2.6417598782718654
2023-03-01,TECHCO,Technology,1250.08,1265.39,1231.16,1250.33,1711840,-0.014075288996830193,1217.687,,0.3275305804675164,1.1970474448419255
2023-03-02,TECHCO,Technology,1273.45,1279.42,1263.71,1271.44,1971029,0.016883542744715596,1223.0430000000001,,0.31944336598847584,2.9056121210159214
2023-03-03,TECHCO,Technology,1310.76,1321.66,1308.11,1309.64,520862,0.030044673755741602,1230.824,,0.3274596498669147,5.997377664826731
2023-03-06,TECHCO,Technology,1309.72,1316.24,1303.09,1310.96,3678097,0.0010079105708438174,1236.785,,0.3129017643412794,6.104213542256831
2023-03-07,TECHCO,Technology,1296.43,1298.53,1279.69,1291.03,1084139,-0.01520259962165138,1241.7245,,0.3207248852088195,4.491153665603709
2023-03-08,TECHCO,Technology,1328.46,1330.35,1303.29,1322.45,1087863,0.02433715715359064,1245.94,,0.304136608339127,7.0341712935234835
2023-03-09,TECHCO,Technology,1295.74,1294.68,1288.99,1292.04,803761,-0.022995198306174247,1249.1190000000001,,0.3161432344989261,4.572899299091904
2023-03-10,TECHCO,Technology,1283.38,1279.53,1276.15,1276.9,2196026,-0.01171790347048074,1252.0335,1241.8758,0.31807569936182023,3.3475241594768335
2023-03-13,TECHCO,Technology,1254.02,1275.7,1251.22,1260.4,2460086,-0.012921920275667631,1255.8539999999998,1242.373,0.3024642299401623,2.0120756916004456
2023-03-14,TECHCO,Technology,1247.94,1266.73,1239.81,1250.37,1443904,-0.007957791177404139,1259.602,1241.8962,0.30280350945586104,1.2002848956731427
2023-03-15,TECHCO,Technology,1280.18,1288.36,1257.31,1275.51,1436501,0.020106048609611626,1263.3545,1242.4146,0.3018793883884761,3.2350227430920864
2023-03-16,TECHCO,Technology,1279.91,1295.49,1260.42,1279.32,3421544,0.002987040477926417,1267.8215,1242.7418,0.2985817959640281,3.543389934765373
